cenario,foco,metodo,sucesso,passos,custo,tempo_s,estados_expandidos,estados_gerados,fronteira_maxima
Cenario 1 - Simples,"pneu (7, 9)",BFS,True,16,16,0.00017659999866737053,70,72,8
Cenario 1 - Simples,"pneu (7, 9)",DFS,True,62,66,0.0002089000008709263,72,119,48
Cenario 1 - Simples,"pneu (7, 9)",Gulosa,True,16,16,5.680000322172418e-05,17,32,16
Cenario 1 - Simples,"pneu (7, 9)",A*,True,16,16,0.00020170000061625615,64,71,11
Cenario 2 - Intermediario,"caixa_dagua (5, 7)",BFS,True,12,12,0.0001247000000148546,50,58,8
Cenario 2 - Intermediario,"caixa_dagua (5, 7)",DFS,True,76,84,0.0002792999985103961,101,149,45
Cenario 2 - Intermediario,"caixa_dagua (5, 7)",Gulosa,True,16,16,6.710000161547214e-05,21,34,12
Cenario 2 - Intermediario,"caixa_dagua (5, 7)",A*,True,12,12,8.219999654102139e-05,26,36,11
Cenario 3 - Complexo,"piscina (8, 18)",BFS,True,17,68,0.0005104999981995206,199,212,17
Cenario 3 - Complexo,"piscina (8, 18)",DFS,True,207,389,0.0007974000000103842,259,464,194
Cenario 3 - Complexo,"piscina (8, 18)",Gulosa,True,17,68,6.669999856967479e-05,18,41,24
Cenario 3 - Complexo,"piscina (8, 18)",A*,True,23,38,0.0008517999995092396,256,289,80
